date,y,year,month,quarter,day_of_week,week_of_year,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,diff_1,diff_12,pct_change_1,pct_change_12,month_sin,month_cos,quarter_sin,quarter_cos
2010-01-01,590.8663366336633,2010,1,1,4,53,0,,,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2010-02-01,535.7188118811881,2010,2,1,0,5,0,590.8663366336633,,,,,,,,,,,,-55.14752475247519,,-0.09333333333333327,,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2010-03-01,614.5009900990099,2010,3,1,0,9,0,535.7188118811881,590.8663366336633,,,,,580.3620462046205,40.42787391453349,,,,,78.78217821782175,,0.1470588235294117,,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2010-04-01,567.2316831683167,2010,4,2,3,13,0,614.5009900990099,535.7188118811881,590.8663366336633,,,,572.4838283828383,39.65282679963653,,,,,-47.26930693069312,,-0.07692307692307698,,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0
2010-05-01,590.8663366336633,2010,5,2,5,17,1,567.2316831683167,614.5009900990099,535.7188118811881,590.8663366336633,,,590.8663366336633,23.634653465346496,,,,,23.63465346534656,,0.04166666666666674,,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2010-06-01,630.2574257425742,2010,6,2,1,22,0,590.8663366336633,567.2316831683167,614.5009900990099,535.7188118811881,,,596.1184818481847,31.839438260983105,588.2402640264025,33.671125708337776,,,39.39108910891093,,0.06666666666666665,,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2010-07-01,646.0138613861386,2010,7,3,3,26,0,630.2574257425742,590.8663366336633,567.2316831683167,614.5009900990099,,,622.379207920792,28.40531831570977,597.4315181518151,41.21344662241252,,,15.756435643564373,,0.025000000000000133,,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16
2010-08-01,669.6485148514852,2010,8,3,6,30,1,646.0138613861386,630.2574257425742,590.8663366336633,567.2316831683167,,,648.6399339933994,19.826413399818097,619.7531353135313,37.17539469402399,,,23.63465346534656,,0.03658536585365857,,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16
2010-09-01,653.8920792079208,2010,9,3,2,35,0,669.6485148514852,646.0138613861386,630.2574257425742,590.8663366336633,590.8663366336633,,656.5181518151816,12.034176503221975,626.3183168316831,39.46979266212198,,,-15.756435643564373,,-0.02352941176470591,,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
2010-10-01,693.2831683168316,2010,10,4,4,39,0,653.8920792079208,669.6485148514852,646.0138613861386,630.2574257425742,535.7188118811881,,672.2745874587459,19.826413399818023,647.3268976897689,35.026335528254215,,,39.39108910891082,,0.06024096385542155,,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0
