year,month,quarter,day_of_week,week_of_year,is_weekend,y,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,diff_1,diff_12,pct_change_1,pct_change_12,month_sin,month_cos,quarter_sin,quarter_cos,day_of_month,day_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,week_of_month,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,lag_1d,lag_7d,lag_14d,lag_30d,lag_4w,lag_8w,lag_12w,lag_3m,lag_6m,lag_12m,rolling_mean_7d,rolling_std_7d,rolling_mean_14d,rolling_std_14d,rolling_mean_30d,rolling_std_30d,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,rolling_mean_12w,rolling_std_12w,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,pct_change_1w,diff_1w,pct_change_1m,diff_1m,pct_change_1y,diff_1y,momentum_30d,momentum_90d,yoy_change,index
2015,1,1,5,5,1,6870.668316831683,,,,,,,6870.668316831683,,6870.668316831683,,6870.668316831683,,,,,,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,31,31,0,1,0,0,5,0.5086709438521044,0.8609610158889943,-0.9749279121818236,-0.2225209339563146,,,,,,,,,,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,6870.668316831683,,,,,,,,,,,2015-01-31
2015,2,1,5,9,1,6229.40594059406,6870.668316831683,,,,,,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,-641.2623762376234,,-0.09333333333333327,,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,28,59,0,1,0,0,4,0.8498170915275278,0.5270777086423722,-0.9749279121818236,-0.2225209339563146,6870.668316831683,,,,,,,,,,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,6550.037128712871,453.44097475742234,,,,,,,,,,2015-02-28
2015,3,1,1,14,0,7145.495049504951,6229.40594059406,6870.668316831683,,,,,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,916.0891089108909,,0.1470588235294117,,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,31,90,0,1,0,1,5,0.9997685019798909,0.021516097436222254,0.7818314824680298,0.6234898018587336,6229.40594059406,,,,,,,,,,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,6748.5231023102315,470.10041899487425,,,,,,,,,,2015-03-31
2015,4,2,3,18,0,6595.841584158416,7145.495049504951,6229.40594059406,6870.668316831683,,,,6656.914191419142,461.08807334879606,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,-549.6534653465351,,-0.07692307692307698,,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,30,120,0,1,0,0,5,0.8800122039735357,-0.47495107206704995,0.43388373911755823,-0.900968867902419,7145.495049504951,,,,,,,,,,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,6710.352722772277,391.35343887896266,,,,,,,,,,2015-04-30
2015,5,2,6,22,1,6870.668316831683,6595.841584158416,7145.495049504951,6229.40594059406,6870.668316831683,,,6870.668316831682,274.8267326732683,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,274.82673267326754,,0.04166666666666674,,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,31,151,0,1,0,0,5,0.5160623910158528,-0.8565509959010036,-0.7818314824680299,0.6234898018587334,6595.841584158416,,,,,,,,,,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,6742.4158415841575,346.4222185881219,,,,,,,,,,2015-05-31
2015,6,2,1,27,0,7328.712871287129,6870.668316831683,6595.841584158416,7145.495049504951,6229.40594059406,,,6931.74092409241,370.2330055419724,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,458.0445544554459,,0.06666666666666665,,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,30,181,0,1,0,1,5,0.02581844022713308,-0.9996666485105112,0.7818314824680298,0.6234898018587336,6870.668316831683,,,,,,,,,,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,6840.132013201321,391.5320982988506,,,,,,,,,,2015-06-30
2015,7,3,4,31,0,7511.930693069307,7328.712871287129,6870.668316831683,6595.841584158416,7145.495049504951,,,7237.103960396039,330.30062550723613,6947.009075907591,479.23515756424774,6936.103253182461,438.43035059540335,183.21782178217836,,0.02499999999999991,,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,31,212,0,1,0,0,5,-0.4862727071086902,-0.8738071036110807,-0.433883739117558,-0.9009688679024191,7328.712871287129,,,,,,,,,,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,6936.103253182461,438.43035059540335,,,,,,,,,,2015-07-31
2015,8,3,0,36,0,7786.757425742575,7511.930693069307,7328.712871287129,6870.668316831683,6595.841584158416,,,7542.466996699671,230.5440366744043,7206.5676567656765,432.28018022679004,7042.435024752475,505.18567874614746,274.82673267326754,,0.03658536585365857,,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,31,243,0,1,0,0,5,-0.8631421280499115,-0.5049610547215202,0.0,1.0,7511.930693069307,6870.668316831683,,,,,,,,,7066.9731258840175,540.4888773557233,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,7042.435024752475,505.18567874614746,0.13333333333333353,916.0891089108918,,,,,,,,2015-08-31
2015,9,3,2,40,0,7603.539603960397,7786.757425742575,7511.930693069307,7328.712871287129,6870.668316831683,6870.668316831683,,7634.075907590759,139.93492283030488,7282.9084158415835,458.9597293028571,7104.7799779977995,508.2253806288952,-183.21782178217836,,-0.02352941176470591,,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,30,273,0,1,0,1,5,-0.9999166586547379,-0.012910296075008843,0.9749279121818236,-0.22252093395631434,7786.757425742575,6229.40594059406,,,,,,,,,7263.27793493635,422.1779064945516,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,7104.7799779977995,508.2253806288952,0.22058823529411775,1374.1336633663368,,,,,,,,2015-09-30
2015,10,4,5,44,1,8061.584158415841,7603.539603960397,7786.757425742575,7511.930693069307,7328.712871287129,6229.40594059406,,7817.293729372937,230.54403667440553,7527.198844884489,407.2906490827849,7200.460396039603,566.6932460258645,458.0445544554441,,0.06024096385542155,,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,31,304,0,1,0,0,5,-0.867456354729597,0.4975132889071803,-0.9749279121818236,-0.2225209339563146,7603.539603960397,7145.495049504951,,,,,,,,,7394.147807637906,512.0118263073979,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,7200.460396039603,566.6932460258645,0.12820512820512797,916.08910891089,,,,,,,,2015-10-31
